,authors,English Title,Japanese Title,Link,Year
38,"斎藤利弥 (SAITO,TOSHIYA )",Proceeding of the Conference on the Ordinary Differential Equation and the Functional Differential Equation ,常微分方程式及び函数微分方程式研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/38.html,1968
39,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on Approximation Theory ,近似理論の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/39.html,1968
40,"吉田耕作 (YOSIDA,KOSAKU )",Proceeding of the Conference on Partial Differential Equations by Methods of Functional Analysis ,位相解析的方法による偏微分方程式論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/40.html,1968
41,"河田敬義 (KAWADA,YUKIYOSHI )",Proceeding of the Conference on Algebraic Number Theory ,代数的整数論研究会報告集─追加も含む（４１─２）− ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/41.html,1968
42,"占部実 (URABE,MINORU )",Proceeding of the Conference on the Fundamental Theory of Numerical Analysis ,数値解析の基礎理論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/42.html,1968
43,"上野季夫 (UENO,SUEO )",Proceeding of the Conference on the Equation of Motion of Radiational Hydrodynamics ,輻射流体力学の運動方程式研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/43.html,1968
44,"塩谷実 (SHIOTANI,MINORU )",Study of Statistical Multivariate Analysis ,統計的多変量解析の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/44.html,1968
45,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on the Equations of Control System ,制御系方程式の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/45.html,1968
46,"工藤弘吉 (KUDO,HIROKICHI )",Invariant Statistical Problems and Sufficiency ,Ｉｎｖａｒｉａｎｔ　Ｓｔａｔｉｓｔｉｃａｌ　ＰｒｏｂｌｅｍｓとＳ ｕｆｆｉｃｉｅｎｃｙ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/46.html,1968
47,"巽友正 (TATSUMI,TOMOMASA )",Distribution-Functional Equations of Turbulance ,乱流の分布汎函数方程式研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/47.html,1968
48,"清水辰次郎 (SHIMIZU,TATSUJIRO )",Nonlinear and Linear Control ,非線型及び線型制御研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/48.html,1968
49,"竹之内脩 (TAKENOUCHI,OSAMU )",Proceeding of the Conference on Operator Ring ,作用素環研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/49.html,1968
50,"戸田宏 (TODA,HIROSHI )",Homotopy Theory ,ホモトピー論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/50.html,1968
51,"山内二郎 (YAMAUCHI,JIRO )",Approximate Computations and Approximate Solutions by Simulation ,近似計算とシミュレーションによる近似解法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/51.html,1968
52,"今井功 (IMAI,ISAO )",Studies on Navier-Stokes Equation ,Ｎａｖｉｅｒ−Ｓｔｏｋｅｓ方程式に関する研究 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/52.html,1968
53,"森川寿 (MORIKAWA,HISASHI )",Brauer Group of a Scheme ,ＳｃｈｅｍｅのＢｒａｕｅｒ群研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/53.html,1968
54,"都筑俊郎 (TSUZUKU,TOSHIRO )",Study of Finite Groups ,有限群の研究 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/54.html,1968
55,"矢野茂樹 (YANO,SHIGEKI )",Proceeding of the Conference on Fourier Analysis ,Ｆｏｕｒｉｅｒ解析の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/55.html,1968
56,"荒木不二洋 (ARAKI,HUZIHIRO )",Statistical Dynamics and Ergode Theory ,統計力学とエルゴード理論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/56.html,1968
57,"福島正俊 (FUKUSHIMA,MASATOSHI )",Lateral Conditions on Markov Process ,マルコフ過程に対するＬａｔｅｒａｌ　Ｃｏｎｄｉｔｉｏｎ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/57.html,1968
58,"伊藤清三 (ITO,SEIZO )",Potential Theory and Partial Differential Equation ,ポテンシャル論と偏微分方程式 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/58.html,1968
